well,condition,base_media,yeast_extract,tryptone,mops,na_l_glut,kh2po4,glucose,water,cells,total
A1,baseline,Novel Bio NBxCyclone Media,100,0,0,0,0,0,0,100,200
A2,baseline,Novel Bio NBxCyclone Media,110,0,0,0,0,0,0,90,200
A3,baseline,Novel Bio NBxCyclone Media,120,0,0,0,0,0,0,80,200
A4,baseline,Novel Bio NBxCyclone Media,130,0,0,0,0,0,0,70,200
A5,baseline,Novel Bio NBxCyclone Media,140,0,0,0,0,0,0,60,200
A6,baseline,Novel Bio NBxCyclone Media,150,0,0,0,0,0,0,50,200
A7,baseline,Novel Bio NBxCyclone Media,160,0,0,0,0,0,0,40,200
A8,baseline,Novel Bio NBxCyclone Media,170,0,0,0,0,0,0,30,200
A9,baseline,Novel Bio NBxCyclone Media,180,0,0,0,0,0,0,20,200
A10,baseline,Novel Bio NBxCyclone Media,190,0,0,0,0,0,0,10,200
B1,baseline,Novel Bio NBxCyclone Media,100,0,0,0,0,0,0,100,200
B2,baseline,Novel Bio NBxCyclone Media,110,0,0,0,0,0,0,90,200
B3,baseline,Novel Bio NBxCyclone Media,120,0,0,0,0,0,0,80,200
B4,baseline,Novel Bio NBxCyclone Media,130,0,0,0,0,0,0,70,200
B5,baseline,Novel Bio NBxCyclone Media,140,0,0,0,0,0,0,60,200
B6,baseline,Novel Bio NBxCyclone Media,150,0,0,0,0,0,0,50,200
B7,baseline,Novel Bio NBxCyclone Media,160,0,0,0,0,0,0,40,200
B8,baseline,Novel Bio NBxCyclone Media,170,0,0,0,0,0,0,30,200
B9,baseline,Novel Bio NBxCyclone Media,180,0,0,0,0,0,0,20,200
B10,baseline,Novel Bio NBxCyclone Media,190,0,0,0,0,0,0,10,200
C1,baseline,Novel Bio NBxCyclone Media,100,0,0,0,0,0,0,100,200
C2,baseline,Novel Bio NBxCyclone Media,110,0,0,0,0,0,0,90,200
C3,baseline,Novel Bio NBxCyclone Media,120,0,0,0,0,0,0,80,200
C4,baseline,Novel Bio NBxCyclone Media,130,0,0,0,0,0,0,70,200
C5,baseline,Novel Bio NBxCyclone Media,140,0,0,0,0,0,0,60,200
C6,baseline,Novel Bio NBxCyclone Media,150,0,0,0,0,0,0,50,200
C7,baseline,Novel Bio NBxCyclone Media,160,0,0,0,0,0,0,40,200
C8,baseline,Novel Bio NBxCyclone Media,170,0,0,0,0,0,0,30,200
C9,baseline,Novel Bio NBxCyclone Media,180,0,0,0,0,0,0,20,200
C10,baseline,Novel Bio NBxCyclone Media,190,0,0,0,0,0,0,10,200
